meeting_date,mro_rate,dfr_rate,mlf_rate,mro_change_bp,dfr_change_bp,mlf_change_bp,mro_decision,dfr_decision,mlf_decision,bulletin,bulletin_pub_date,account_previous,account_pub_date
2024-04-11,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202402.en.pdf,2024-03-21,22-01-24.pdf,2024-01-22
2024-06-06,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202403.en.pdf,2024-04-25,10-05-24.pdf,2024-05-10
2024-07-18,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202404.en.pdf,2024-06-20,4-07-24.pdf,2024-07-04
2024-09-12,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202405.en.pdf,2024-08-01,4-07-24.pdf,2024-07-04
2024-10-17,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202406.en.pdf,2024-09-26,4-07-24.pdf,2024-07-04
2024-12-12,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202407.en.pdf,2024-10-31,14-11-24.pdf,2024-11-14
2025-01-30,2.9,2.75,3.15,-25,-25,-25,cut,cut,cut,eb202408.en.pdf,2024-12-26,16-01-25.pdf,2025-01-16
2025-03-06,2.65,2.5,2.9,-25,-25,-25,cut,cut,cut,eb202501.en.pdf,2025-02-06,16-01-25.pdf,2025-01-16
2025-04-17,2.4,2.25,2.65,-25,-25,-25,cut,cut,cut,eb202502.en.pdf,2025-03-27,3-04-25.pdf,2025-04-03
2025-06-05,2.15,2.0,2.4,-25,-25,-25,cut,cut,cut,eb202503.en.pdf,2025-05-08,22-05-25.pdf,2025-05-22
2025-07-24,2.15,2.0,2.4,0,0,0,hold,hold,hold,eb202504.en.pdf,2025-06-19,3-07-25.pdf,2025-07-03
2025-09-11,2.15,2.0,2.4,0,0,0,hold,hold,hold,eb202505.en.pdf,2025-07-31,28-08-25.pdf,2025-08-28
2025-10-30,2.15,2.0,2.4,0,0,0,hold,hold,hold,eb202506.en.pdf,2025-09-25,09-10-25.pdf,2025-10-09
2025-12-18,2.15,2.0,2.4,0,0,0,hold,hold,hold,eb202507.en.pdf,2025-11-06,27-11-25.pdf,2025-11-27
